Name,Age,Nationality,Overall,Potential,Club
N. Cherubin,30,Italy,70,70,Hellas Verona
L. Di Plácido,23,Argentina,70,77,Club Atlético Lanús
Vítor Silva,33,Portugal,70,70,CF Reus Deportiu
D. Moreno,25,Colombia,70,74,Independiente Medellín
L. Orejuela,21,Colombia,70,79,Ajax
M. D'Alessandro,26,Italy,70,71,Benevento Calcio
Victor Andrade,21,Brazil,70,80,Estoril Praia
Renaldo Justinho,33,Brazil,70,70,Fluminense Football Club
E. Mor,19,Turkey,70,85,RC Celta de Vigo
A. Stoian,26,Romania,70,70,Crotone
L. Nangis,23,France,70,75,Valenciennes FC
C. Christie,24,Republic of Ireland,70,74,Middlesbrough
C. Dibon,26,Austria,70,73,SK Rapid Wien
G. Hubert,23,Belgium,70,75,Club Brugge KV
Macarinho Louro,29,Brazil,70,70,Grêmio Foot-Ball Porto Alegrense
H. Afful,31,Ghana,70,70,Columbus Crew SC
E. Velarde,31,Mexico,70,70,Deportivo Toluca
J. Gomez,20,England,70,82,Liverpool
N. Sánchez,25,Argentina,70,73,Godoy Cruz
N. Romat,29,Argentina,70,70,Atlético Tucumán
Shikabala,31,Egypt,70,70,Al Raed
M. Langer,32,Austria,70,70,FC Schalke 04
L. Desábato,27,Argentina,70,72,Vélez Sarsfield
S. Coopman,22,Belgium,70,77,SV Zulte-Waregem
H. Bouazza,32,Algeria,70,70,Tours FC
A. Danteón,29,Chile,70,70,San Luis de Quillota
M. Djuricin,24,Austria,70,74,Grasshopper Club Zürich
R. Braña,38,Argentina,70,70,Estudiantes de La Plata
Nando,23,Spain,70,78,Lorca Deportiva CF
Pedro Sánchez,30,Spain,70,70,Granada CF
L. Arias,32,Colombia,70,70,Independiente Medellín
Thiago Galhardo,27,Brazil,70,70,Albirex Niigata
J. Abella,23,Mexico,70,75,Santos Laguna
Raphael Paneira,29,Brazil,70,70,Associação Atlética Ponte Preta
M. Saracchi,19,Uruguay,70,85,River Plate
R. Tesche,30,Germany,70,70,VfL Bochum
B. Bourigeaud,23,France,70,77,Stade Rennais FC
Jailson Oliva,25,Brazil,70,70,Clube Atlético Mineiro
L. Obraniak,32,Poland,70,70,AJ Auxerre
S. van de Streek,24,Netherlands,70,74,FC Utrecht
B. Behrendt,25,Germany,70,74,DSC Arminia Bielefeld
I. Mbenza,21,Belgium,70,78,Montpellier Hérault SC
M. Iori,35,Italy,70,70,Cittadella
G. Milan,29,Argentina,70,70,Tiburones Rojos de Veracruz
D. Djené,25,Togo,70,73,Getafe CF
O. González,32,Chile,70,70,Deportivo Toluca
Munir,28,Morocco,70,71,CD Numancia
J. Marveaux,34,France,70,70,GFC Ajaccio
B. Idowu,25,Russia,70,74,Amkar Perm
G. Mandjeck,28,Cameroon,70,70,Sparta Praha
M. Fofana,25,Ivory Coast,70,73,Atiker Konyaspor
T. Pellenard,23,France,70,76,Girondins de Bordeaux
Yan Junling,26,China PR,70,71,
Yazalde,28,Portugal,70,70,Rio Ave FC
Nenê,33,Brazil,70,70,Bari
G. Toledo,27,Argentina,70,70,Colon de Santa Fe
Diogildo Peixe,29,Brazil,70,70,São Paulo Futebol Clube
A. Guédioura,31,Algeria,70,70,Middlesbrough
J. Lopera,30,Colombia,70,70,Independiente Medellín
P. Escobar,38,Bolivia,70,70,
N. Al Shamrani,33,Saudi Arabia,70,70,Al Shabab
D. Perrinelle,33,France,70,70,New York Red Bulls
Mossa,28,Spain,70,70,Real Oviedo
R. Murawski,35,Poland,70,70,Pogoń Szczecin
L. Venuti,22,Italy,70,80,Benevento Calcio
Rui Pedro,19,Portugal,70,85,Boavista FC
G. Zusi,30,United States,70,70,Sporting Kansas City
Kim Young Wook,26,Korea Republic,70,70,Jeonnam Dragons
R. Carrascal,24,Colombia,70,75,Deportes Tolima
Y. Sanctissis,29,Chile,70,70,CD Antofagasta
M. Olivera,25,Uruguay,70,75,Fiorentina
V. Viola,25,Argentina,70,72,Independiente Medellín
Chuli,26,Spain,70,73,Getafe CF
K. Laimer,20,Austria,70,80,RB Leipzig
D. Suzuki,27,Japan,70,70,Gimnàstic de Tarragona
P. Quiñonez,31,Ecuador,70,70,
B. Holman,33,Australia,70,70,Brisbane Roar
O. Burke,20,Scotland,70,84,West Bromwich Albion
B. Chilwell,20,England,70,82,Leicester City
D. Pollet,28,Belgium,70,70,Sporting Charleroi
M. Chrétien,32,Morocco,70,70,AS Nancy Lorraine
Enzo Chissano,25,Brazil,70,70,São Paulo Futebol Clube
N. Leguizamón,22,Argentina,70,79,Colon de Santa Fe
B. Cabezas,20,Ecuador,70,75,Panathinaikos FC
D. Meyler,28,Republic of Ireland,70,70,Hull City
S. Gleeson,28,Republic of Ireland,70,70,Birmingham City
H. Fallatah,31,Saudi Arabia,70,70,Al Fayha
K. Long,26,Republic of Ireland,70,73,Burnley
Breno Bemposta,33,Brazil,70,70,Sport Club do Recife
B. Capon,29,Belgium,70,70,KV Oostende
Borja Viguera,30,Spain,70,70,Real Sporting de Gijón
M. Korhut,28,Hungary,70,70,
D. Depetris,28,Slovakia,70,70,Bahía Blanca
L. Martínez Quarta,21,Argentina,70,83,River Plate
A. Robic,31,France,70,70,AS Nancy Lorraine
António Filipe,32,Portugal,70,70,Grupo Desportivo de Chaves
Ruíz de Galarreta,23,Spain,70,77,FC Barcelona B
Luís Martins,25,Portugal,70,74,CS Marítimo
Guillermo,24,Spain,70,76,CD Numancia
C. Kouakou,26,Ivory Coast,70,71,SM Caen
M. Casierra,31,Colombia,70,70,San Martín de San Juan
I. Coronado,24,Brazil,70,75,Palermo
L. Diarte,24,Argentina,70,76,Estudiantes de La Plata
Fran Villalba,19,Spain,70,80,Valencia CF
I. Konuk,29,Turkey,70,70,Bursaspor
A. Bouka Moutou,28,Congo,70,70,Dijon FCO
P. Yakovlev,26,Russia,70,70,FC Anzhi Makhachkala
M. Bauer,25,Austria,70,74,Rubin Kazan
A. Ngamukol,29,Equatorial Guinea,70,70,Stade de Reims
N. Viola,27,Italy,70,71,Benevento Calcio
N. Thomsen,24,Denmark,70,74,FC København
Felipe,26,Brazil,70,73,New York Red Bulls
M. Fallatah,29,Saudi Arabia,70,70,Al Hilal
C. Akolo,22,DR Congo,70,82,VfB Stuttgart
T. Perthel,28,Germany,70,70,VfL Bochum
J. Rivierez,28,France,70,70,FC Metz
E. Gyasi,26,Ghana,70,71,Aalesunds FK
Fran Carbia,25,Spain,70,75,CF Reus Deportiu
A. Šporar,23,Slovenia,70,77,DSC Arminia Bielefeld
E. Huws,23,Wales,70,78,Ipswich Town
J. Silva,28,Paraguay,70,70,Deportes Tolima
L. Giannetti,23,Argentina,70,79,Vélez Sarsfield
U. Matić,27,Serbia,70,71,FC København
J. Muñoz,28,Colombia,70,71,CD Once Caldas Manizales
W. Bakhashwain,27,Saudi Arabia,70,72,Al Ahli
R. Ramírez,27,Paraguay,70,71,Deportivo Pasto
Carlos López,27,Spain,70,71,Wisła Kraków
J. Hunt,26,England,70,73,Sheffield Wednesday
M. Yumlu,29,Turkey,70,70,Akhisar Belediyespor
S. Gustafson,22,Sweden,70,75,Roda JC Kerkrade
C. Lederos,25,Chile,70,70,Deportes Iquique
A. Paschalakis,27,Greece,70,72,PAOK Thessaloniki
D. Nounkeu,31,Cameroon,70,70,Kardemir Karabükspor
L. Moult,25,England,70,70,Motherwell
N. Murru,22,Italy,70,77,Sampdoria
P. Gallagher,32,Scotland,70,70,Preston North End
Vicemte Tófoli,33,Brazil,70,70,São Paulo Futebol Clube
F. Zuculini,26,Argentina,70,70,Hellas Verona
I. Canuto,31,Argentina,70,70,Club Atlético Lanús
Willyan,23,Brazil,70,75,Vitória Setúbal
M. Doumbia,22,Mali,70,78,FC Rostov
Iván Alejo,22,Spain,70,77,SD Eibar
J. Schuster,32,Germany,70,70,SC Freiburg
A. Diallo,25,Senegal,70,75,Stade Rennais FC
N. Dussenne,25,Belgium,70,74,KAA Gent
Y. Touzghar,30,Tunisia,70,70,FC Sochaux-Montbéliard
Pablo Valcarce,24,Spain,70,76,CD Numancia
B. Nehrig,30,Germany,70,70,FC St. Pauli
J. Cortés,27,Mexico,70,70,Santos Laguna
R. Czichos,27,Germany,70,71,Holstein Kiel
A. Batalla,21,Argentina,70,80,River Plate
E. Lenjani,27,Albania,70,70,FC Sion
Garrido,27,Spain,70,73,Cádiz C.F.
B. Turner,28,England,70,70,Burton Albion
J. González,18,United States,70,80,Monterrey
R. Würtz,33,Denmark,70,70,Aalborg BK
L. Capezzi,22,Italy,70,79,Sampdoria
M. Johansson,25,Sweden,70,73,Panathinaikos FC
T. Ream,29,United States,70,70,Fulham
T. Darikwa,25,England,70,74,Nottingham Forest
M. Gilks,35,Scotland,70,70,Scunthorpe United
G. Kerk,21,Netherlands,70,76,FC Utrecht
U. Dávila,26,Mexico,70,72,Santos Laguna
Vasco Rocha,28,Portugal,70,70,FC Paços de Ferreira
F. Niell,34,Argentina,70,70,Gimnasia y Esgrima La Plata
L. Freeman,25,England,70,73,Queens Park Rangers
E. Karaca,27,Turkey,70,71,Alanyaspor
B. Salamon,26,Poland,70,73,Ferrara (SPAL)
L. Spendlhofer,24,Austria,70,74,SK Sturm Graz
C. Echagovia,29,Chile,70,70,Deportes Iquique
E. Terranova,30,Italy,70,70,Frosinone
Sevinho Santos,29,Brazil,70,70,Grêmio Foot-Ball Porto Alegrense
R. Zozulya,27,Ukraine,70,71,Albacete Balompié
O. Ntcham,21,France,70,82,Celtic
R. Lindgren,32,Sweden,70,70,BK Häcken
J. Domínguez,29,Mexico,70,70,Cruz Azul
Canella,29,Spain,70,70,Real Sporting de Gijón
A. Gcaba,31,South Africa,70,70,Orlando Pirates
J. Wurtz,25,Germany,70,75,VfL Bochum
Concha,20,Spain,70,82,FC Barcelona B
V. Sasso,26,France,70,72,CF Os Belenenses
E. Trejo,27,Mexico,70,71,Querétaro
M. Kucharczyk,26,Poland,70,71,Legia Warszawa
R. Pucino,26,Italy,70,71,Salernitana
M. Havenaar,30,Japan,70,70,Vissel Kobe
F. Bahlouli,22,France,70,77,LOSC Lille
S. Nakatani,21,Japan,70,77,Kashiwa Reysol
Léo Silva,31,Brazil,70,70,Kashima Antlers
A. Gonçalves,31,France,70,70,RC Strasbourg
Mora,37,Spain,70,70,Getafe CF
Lucas Venuto,22,Brazil,70,75,FK Austria Wien
D. Holla,29,Netherlands,70,70,FC Twente
S. Lex,27,Germany,70,70,FC Ingolstadt 04
S. Slavchev,23,Bulgaria,70,77,Lechia Gdańsk
C. Rius,28,Argentina,70,70,Defensa y Justicia
S. Khaoui,22,France,70,75,ES Troyes AC
Kim Won Il,30,Korea Republic,70,70,Jeju United FC
D. Ward,24,Wales,70,78,Liverpool
J. Velázquez,26,Argentina,70,72,Cruz Azul
D. Biondini,34,Italy,70,70,Sassuolo
D. Rangelov,34,Bulgaria,70,70,
L. Greco,30,Italy,70,70,Bari
D. Linsmayer,25,Germany,70,74,SV Sandhausen
C. Araujo,35,Argentina,70,70,Club Atlético Huracán
M. Hartmann,29,Germany,70,70,SG Dynamo Dresden
A. Sissoko,27,Mali,70,70,Akhisar Belediyespor
M. Pereira,29,France,70,70,Evkur Yeni Malatyaspor
Y. Al Shehri,27,Saudi Arabia,70,70,Al Nassr
D. Cerén,27,El Salvador,70,70,San Jose Earthquakes
M. García,28,Argentina,70,70,Club Atlético Huracán
P. Leciejewski,32,Poland,70,70,SK Brann
E. El Hadary,44,Egypt,70,70,Al Taawoun
E. Rivière,27,France,70,71,FC Metz
P. Gazzaniga,25,Argentina,70,75,Tottenham Hotspur
R. Emelyanov,25,Russia,70,76,FC Ural
E. Perlaza,28,Colombia,70,70,Atlético Huila
D. Nagy,22,Hungary,70,79,Legia Warszawa
S. Štilić,29,Bosnia Herzegovina,70,70,Wisła Płock
A. Lindegaard,33,Denmark,70,70,Burnley
M. Yıldırım,26,Turkey,70,72,Kayserispor
Saberto Botelho,29,Brazil,70,70,Fluminense Football Club
Hugo Seco,29,Portugal,70,70,CD Feirense
H. ter Avest,20,Netherlands,70,78,FC Twente
Córdoba,20,Spain,70,77,Athletic Club de Bilbao
S. Delev,27,Bulgaria,70,70,Pogoń Szczecin
A. Castro,23,Colombia,70,74,Asociacion Deportivo Cali
E. Ohemeng,21,Ghana,70,79,Moreirense FC
M. Mier,26,Uruguay,70,70,CPD Junior Barranquilla
G. La Parra,29,Chile,70,70,Everton de Viña del Mar
Melendo,19,Spain,70,81,RCD Espanyol
E. Salomonsson,28,Sweden,70,70,IFK Göteborg
Y. de Lanlay,25,Norway,70,73,Rosenborg BK
D. Dumfries,21,Netherlands,70,78,SC Heerenveen
E. Lichaj,28,United States,70,70,Nottingham Forest
K. Kombarov,30,Russia,70,70,Arsenal Tula
M. Wittek,28,Germany,70,71,1. FC Heidenheim
Oh Ban Suk,29,Korea Republic,70,70,Jeju United FC
K. Rodrigues,23,Portugal,70,78,Real Sociedad
J. Chiarini,35,Argentina,70,70,Club Atlético Tigre
K. Kanatsızkuş,20,Turkey,70,84,Bursaspor
F. Renzetti,29,Italy,70,70,Cremonese
Ilie Sánchez,26,Spain,70,73,Sporting Kansas City
Y. Kurtuluş,31,Turkey,70,70,Antalyaspor
Nacho Gil,21,Spain,70,78,Valencia CF
O. Edouard,19,France,70,80,Celtic
Artur,21,Brazil,70,77,Columbus Crew SC
L. Rodríguez,32,Argentina,70,70,Atlético Tucumán
D. Texeira,26,Uruguay,70,72,Vitória Guimarães
R. Cardozo,27,Bolivia,70,70,
C. Ikeme,31,Nigeria,70,70,Wolverhampton Wanderers
I. Anya,29,Scotland,70,70,Derby County
Nilson Padilho,29,Brazil,70,70,Sport Club do Recife
G. Gómez,33,Panama,70,70,Atlético Bucaramanga
R. Kortsmit,24,Netherlands,70,74,Sparta Rotterdam
Javi Lara,31,Spain,70,70,Córdoba CF
M. Nelom,26,Netherlands,70,72,Feyenoord
C. Yambéré,26,Central African Rep.,70,74,Dijon FCO
M. Fouzair,25,Morocco,70,72,Al Nassr
Y. Movsisyan,29,Armenia,70,70,Real Salt Lake
M. Abu,25,Ghana,70,75,Columbus Crew SC
S. Badji,27,Senegal,70,71,Kayserispor
Querol,28,Spain,70,70,CF Reus Deportiu
René,33,Spain,70,70,UD Almería
S. Willems,26,France,70,72,Sporting Charleroi
O. Scarione,31,Argentina,70,70,Göztepe
J. Harrison,20,England,70,84,New York City Football Club
Y. Hadji,37,Morocco,70,70,AS Nancy Lorraine
A. Bamba,27,Ivory Coast,70,70,Angers SCO
S. Gallagher,21,England,70,81,Birmingham City
M. Ngadeu-Ngadjui,26,Cameroon,70,74,
T. Chevalier,30,France,70,70,KV Kortrijk
D. Alar,27,Austria,70,70,SK Sturm Graz
F. Bérenguer,28,France,70,70,FC Sochaux-Montbéliard
G. Tzavellas,29,Greece,70,70,Alanyaspor
O. Omoijuanfo,23,Norway,70,77,Stabæk Fotball
M. Ogasawara,38,Japan,70,70,Kashima Antlers
I. Bubnjić,24,Croatia,70,74,Udinese
H. Sogahata,37,Japan,70,70,Kashima Antlers
V. Sané,27,Senegal,70,71,AJ Auxerre
C. Schwegler,33,Switzerland,70,70,FC Luzern
G. Kastaneer,21,Netherlands,70,78,1. FC Kaiserslautern
T. Rakhale,27,South Africa,70,70,Orlando Pirates
A. Taarabt,28,Morocco,70,70,Genoa
A. Sendillas,33,Chile,70,70,Santiago Wanderers
G. Gimbert,31,France,70,70,AC Ajaccio
Señé,25,Spain,70,73,C.D. Leonesa S.A.D.
S. Kalu,19,Nigeria,70,82,KAA Gent
S. Neumann,26,Germany,70,72,Würzburger FV
J. Iloki,25,France,70,72,FC Nantes
M. Heylen,23,Belgium,70,75,SV Zulte-Waregem
Trujillo,29,Spain,70,70,UD Almería
D. Fabbrini,26,Italy,70,71,Real Oviedo
Yoon Bit Garam,27,Korea Republic,70,70,Jeju United FC
M. Pušić,29,Austria,70,70,FC København
P. Caballero,31,Argentina,70,70,UD Almería
K. Miller,37,Scotland,70,70,Rangers
Diogo Viana,27,Portugal,70,70,CF Os Belenenses
Toño Ramirez,30,Spain,70,70,Real Sociedad
M. Żyro,24,Poland,70,73,Wolverhampton Wanderers
Ever Corredeira,33,Brazil,70,70,Coritiba Foot Ball Club
D. De fauw,35,Belgium,70,70,SV Zulte-Waregem
G. Stendardo,36,Italy,70,70,Pescara
D. Cavaré,22,France,70,77,Barnsley
S. Lukić,20,Serbia,70,79,Levante UD
C. Goldson,24,England,70,77,Brighton & Hove Albion
David Ferreiro,29,Spain,70,70,SD Huesca
M. Diskerud,26,United States,70,72,IFK Göteborg
S. Khelifi,23,Switzerland,70,76,Eintracht Braunschweig
Y. Abdelhamid,29,Morocco,70,70,Stade de Reims
R. Insigne,23,Italy,70,75,Parma
C. Strandberg,21,Sweden,70,77,Malmö FF
A. Venteros,29,Chile,70,70,CD Antofagasta
Tiago Mesquita,26,Portugal,70,72,Boavista FC
P. Oniangué,28,Congo,70,70,Wolverhampton Wanderers
Fernández,27,Spain,70,71,Córdoba CF
D. Mitov Nilsson,26,FYR Macedonia,70,72,IFK Norrköping
N. Ninković,22,Serbia,70,78,Empoli
C. Leitgeb,32,Austria,70,70,FC Red Bull Salzburg
D. Bouanga,22,Gabon,70,79,FC Lorient
Carlos Ruiz,33,Spain,70,70,CD Tenerife
P. Heise,26,Germany,70,73,SG Dynamo Dresden
Gerard,22,Spain,70,76,CD Leganés
S. Marzo,26,Belgium,70,72,Sporting Lokeren
P. Diamanka,27,Senegal,70,71,CD Numancia
R. Loftus-Cheek,21,England,70,84,Crystal Palace
B. Bolingoli,22,Belgium,70,77,SK Rapid Wien
A. Konradsen,26,Norway,70,71,Rosenborg BK
K. Bérigaud,29,France,70,70,Montpellier Hérault SC
M. Kightly,31,England,70,70,Southend United
A. Adanuy,33,Chile,70,70,CD Huachipato
Sastre,31,Spain,70,70,SD Huesca
M. Morys,30,Germany,70,70,VfR Aalen
A. Durak,30,Turkey,70,70,Kasimpaşa SK
Jona,28,Honduras,70,70,Córdoba CF
A. Khalili,25,Sweden,70,73,Gençlerbirliği SK
F. Clerc,34,France,70,70,GFC Ajaccio
C. Varrault,37,France,70,70,Dijon FCO
P. Vlachodimos,25,Greece,70,73,Nîmes Olympique
R. Dugimont,31,France,70,70,Clermont Foot 63
I. Sangaré,19,Ivory Coast,70,82,Toulouse FC
Paulinho,31,Brazil,70,70,BK Häcken
Adrián Ortolá,23,Spain,70,78,FC Barcelona
E. Lueiza,29,Chile,70,70,Club de Deportes Temuco
N. Ueda,22,Japan,70,78,Kashima Antlers
J. Ahlmann,26,Denmark,70,73,Aalborg BK
G. Morozov,23,Russia,70,77,Dinamo Moscow
David Carmona,20,Spain,70,84,Sevilla Atlético
Rafa Navarro,23,Spain,70,79,Real Betis Balompié
M. Welzmüller,27,Germany,70,70,VfR Aalen
Q. Moll,26,Germany,70,72,Eintracht Braunschweig
P. Budkivskyi,25,Ukraine,70,74,KV Kortrijk
D. Dibusz,26,Hungary,70,74,
E. Taşdemir,21,Turkey,70,77,Bursaspor
A. Borysiuk,25,Poland,70,73,Queens Park Rangers
J. Flum,29,Germany,70,70,FC St. Pauli
R. Bonevacia,25,Curacao,70,73,Western Sydney Wanderers
B. Lobonţ,39,Romania,70,70,Roma
S. Thesker,26,Germany,70,72,FC Twente
K. Shibasaki,32,Japan,70,70,Sanfrecce Hiroshima
F. Manojlović,21,Serbia,70,79,Getafe CF
G. Oboabona,26,Nigeria,70,72,Al Ahli
F. Otero Tovar,22,Colombia,70,80,Estudiantes de La Plata
J. Maghoma,29,DR Congo,70,70,Birmingham City
F. Friday,22,Nigeria,70,76,AZ Alkmaar
R. Perez,27,Colombia,70,72,CPD Junior Barranquilla
S. López,28,Argentina,70,70,CD Once Caldas Manizales
F. Millados,25,Chile,70,70,Audax Italiano
Y. Ideguchi,20,Japan,70,80,Gamba Osaka
M. Al Shalhoub,36,Saudi Arabia,70,70,Al Hilal
A. Budimir,25,Croatia,70,72,Crotone
J. Ralls,23,England,70,77,Cardiff City
M. Steinhöfer,31,Germany,70,70,SV Darmstadt 98
D. Kolovos,24,Greece,70,74,KV Mechelen
R. Abarsola,33,Chile,70,70,Unión Española
H. Galdamos,25,Chile,70,70,Santiago Wanderers
A. Turan,33,Turkey,70,70,Atiker Konyaspor
F. Gardoş,28,Romania,70,70,Southampton
M. Stępiński,22,Poland,70,77,Chievo Verona
A. Gnoukouri,20,Ivory Coast,70,80,Inter
F. Ojo,25,Belgium,70,72,Scunthorpe United
Jeong Woon,28,Korea Republic,70,70,Jeju United FC
F. Oreja,35,Argentina,70,70,Gimnasia y Esgrima La Plata
Borja Iglesias,24,Spain,70,77,Real Zaragoza
A. Ryazantsev,30,Russia,70,70,Amkar Perm
P. Kitchen,25,United States,70,75,Randers FC
A. Yiadom,25,Ghana,70,73,Barnsley
M. Salvi,23,Switzerland,70,80,FC Basel
Allano,22,Brazil,70,78,Estoril Praia
S. Doi,25,Japan,70,73,Kashima Antlers
B. Kessel,29,Germany,70,70,1. FC Kaiserslautern
C. Maxwell,26,Wales,70,73,Preston North End
S. Birnbaum,26,United States,70,71,D.C. United
I. Modonza,25,Chile,70,70,Audax Italiano
J. Risdon,24,Australia,70,75,Western Sydney Wanderers
A. Brignoli,25,Italy,70,72,Benevento Calcio
S. Bastien,20,Belgium,70,80,Chievo Verona
H. Sepulveño,29,Chile,70,70,Everton de Viña del Mar
L. Castro,25,Colombia,70,73,Independiente Medellín
Nauzet Alemán,32,Spain,70,70,UD Almería
Ricardo Pessoa,35,Portugal,70,70,Portimonense SC
S. Çinaz,31,Turkey,70,70,Kayserispor
J. Pollersbeck,22,Germany,70,80,Hamburger SV
D. Marcellis,29,Netherlands,70,70,PEC Zwolle
M. Gould,34,South Africa,70,70,
E. Salli,24,Cameroon,70,73,1. FC Nürnberg
A. Rentería,24,Colombia,70,74,Atletico Nacional Medellin
S. Dursun,25,Turkey,70,72,Antalyaspor
André Moreira,21,Portugal,70,78,SC Braga
Errasti,29,Spain,70,70,AD Alcorcón
Dani Nieto,26,Spain,70,71,CD Numancia
M. Al Buraik,24,Saudi Arabia,70,75,Al Hilal
B. Kamara,20,France,70,81,RC Strasbourg
Rodrigo,21,Spain,70,79,Villarreal CF
W. Rémy,26,France,70,74,Montpellier Hérault SC
L. Schmitz,28,Germany,70,70,Fortuna Düsseldorf
M. Vydra,25,Czech Republic,70,74,Derby County
Joãozinho,27,Portugal,70,70,Tondela
R. Strauß,30,Germany,70,70,1. FC Heidenheim
Morcillo,31,Spain,70,70,UD Almería
S. Rincón,23,Colombia,70,77,Vitória Guimarães
J. Fejzić,31,Bosnia Herzegovina,70,70,Eintracht Braunschweig
G. Garza,25,United States,70,71,Atlanta United FC
L. Sadiku,25,Kosovo,70,72,Kasimpaşa SK
M. Risso,29,Uruguay,70,70,Club Atlético Huracán
Y. Barbet,24,France,70,76,Brentford
D. Artuago,29,Chile,70,70,Unión Española
Wesley,20,Brazil,70,80,Club Brugge KV
C. Noone,29,England,70,70,Bolton Wanderers
J. Hugill,25,England,70,74,Preston North End
T. Iwanami,23,Japan,70,77,Vissel Kobe
J. Carrasso,29,France,70,70,Stade de Reims
M. Vilhjálmsson,30,Iceland,70,70,Rosenborg BK
S. Aytaç,25,Turkey,70,74,Antalyaspor
Wagner Orsinho,29,Brazil,70,70,Coritiba Foot Ball Club
R. Salinas,29,Mexico,70,70,Deportivo Toluca
M. Schneuwly,32,Switzerland,70,70,FC Sion
Y. Bissouma,20,Mali,70,80,LOSC Lille
J. Fulton,23,Scotland,70,81,Swansea City
Omar Perdomo,23,Spain,70,76,Gimnàstic de Tarragona
Y. Godzyur,32,Ukraine,70,70,FC Ural
U. Vitas,24,Serbia,70,74,KV Mechelen
K. Árnason,34,Iceland,70,70,Aberdeen
Borja Fernández,36,Spain,70,70,Real Valladolid
K. Wilczek,29,Poland,70,70,Brøndby IF
F. Bellocq,23,Argentina,70,77,Bahía Blanca
Luisinho Conradi,29,Brazil,70,70,Grêmio Foot-Ball Porto Alegrense
J. Angulo,27,Ecuador,70,70,Club Atlético Huracán
K. Kraus,24,Germany,70,74,1. FC Heidenheim
J. Ba Jandouh,24,Saudi Arabia,70,72,Al Ittihad
M. Escudero,28,Argentina,70,71,San Martín de San Juan
R. Bengtsson,31,Sweden,70,70,Malmö FF
L. Del Prete,31,Italy,70,70,Perugia
P. Bamford,23,England,70,77,Middlesbrough
B. Ndoye,23,Senegal,70,79,FC Sion
J. De Sart,22,Belgium,70,76,SV Zulte-Waregem
D. Belorukov,34,Russia,70,70,Amkar Perm
K. Adenon,31,Benin,70,70,Amiens SC Football
André Micael,28,Portugal,70,70,Moreirense FC
J. Rassoul,21,Senegal,70,78,Sporting Lokeren
M. Faraoni,25,Italy,70,73,Crotone
A. Ngando,23,France,70,77,Göztepe
David Barral,34,Spain,70,70,Cádiz C.F.
L. Jutkiewicz,28,England,70,70,Birmingham City
Li Xuepeng,28,China PR,70,70,
G. Molins,28,Sweden,70,70,Panathinaikos FC
J. Baiva,25,Chile,70,70,Club de Deportes Temuco
T. De Sutter,31,Belgium,70,70,Sporting Lokeren
M. Abdellaoue,31,Norway,70,70,Vålerenga Fotball
Kim Do Hyeok,25,Korea Republic,70,75,Incheon United FC
T. Werner,31,Germany,70,70,1. FC Nürnberg
D. Davis,26,England,70,72,Birmingham City
S. Bryzgalov,24,Russia,70,74,FC Anzhi Makhachkala
Dani Giménez,33,Spain,70,70,Real Betis Balompié
Aleix García,20,Spain,70,82,Girona CF
Platiny,26,Brazil,70,72,Grupo Desportivo de Chaves
F. Valverde,18,Uruguay,70,85,RC Deportivo de La Coruña
Kadu,30,Brazil,70,70,Göztepe
D. Petrić,29,Serbia,70,70,En Avant de Guingamp
R. Krhin,27,Slovenia,70,71,FC Nantes
Y. Croizet,25,France,70,72,KV Mechelen
T. Clarke,29,England,70,70,Preston North End
S. Whittaker,33,Scotland,70,70,Hibernian
Paulo Miranda,28,Brazil,70,71,FC Red Bull Salzburg
O. Vaněk,26,Czech Republic,70,70,FC Ufa
A. Rocha,24,Mexico,70,76,Monarcas Morelia
M. Ingvartsen,21,Denmark,70,77,KRC Genk
N. Moiraghi,32,Argentina,70,70,Asociacion Deportivo Cali
A. Tashaev,23,Russia,70,75,Dinamo Moscow
R. Bezus,26,Ukraine,70,72,Sint-Truidense VV
M. Molina,37,Colombia,70,70,Independiente Medellín
B. Assou-Ekotto,33,Cameroon,70,70,FC Metz
I. Firer,32,Slovenia,70,70,AJ Auxerre
K. Stöger,23,Austria,70,76,VfL Bochum
Rui Silva,23,Portugal,70,76,Granada CF
R. Gosens,22,Germany,70,75,Atalanta
M. Degenek,23,Australia,70,77,Yokohama F. Marinos
F. Nita,29,Romania,70,70,
A. Pilkington,29,Republic of Ireland,70,70,Cardiff City
M. Budziński,26,Poland,70,71,Melbourne City
K. Peterson,22,Sweden,70,75,Heracles Almelo
R. Tramos,29,Chile,70,70,Curicó Unido
Hugo Vieira,28,Portugal,70,70,Yokohama F. Marinos
S. Parshivlyuk,28,Russia,70,70,FC Rostov
D. Yılmaz,29,Azerbaijan,70,70,Bursaspor
C. Arboleda,31,Colombia,70,70,Independiente Santa Fe
Andrei Girotto,25,Brazil,70,74,FC Nantes
H. Campagnaro,37,Argentina,70,70,Pescara
W. Kvist,32,Denmark,70,70,FC København
T. Cahill,37,Australia,70,70,Melbourne City
S. Hernández,30,Colombia,70,70,CPD Junior Barranquilla
E. Pérez,28,Mexico,70,70,Monarcas Morelia
Kwon Chang Hoon,23,Korea Republic,70,76,Dijon FCO
Nacho,28,Spain,70,70,Real Valladolid
D. Álvarez,38,Mexico,70,70,Tigres U.A.N.L.
C. Nieldo,25,Chile,70,70,CD O'Higgins
J. Brekalo,19,Croatia,70,82,VfB Stuttgart
